"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00075","","","","30","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00076","","","","30","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00077","","","","30","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00078","","","","30","0","2.222239","1.121718","0.517714","0","1.9463069","0.431233","23.3191833","5","8","4.9386439","54.636837","66.5510483","27.87497543","20.2164688","12.0629301"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00079","","","","30","0","1.879431","0.907009","0.985798","1.498156","1.971274","2.9051609","18.7024899","4","5","3.48897","59.810173","71.4420929","26.95063694","14.3109589","11.3854771"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00008","","","","30","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00080","","","","30","22.1075439","2.52511","1.297505","1.159693","2.8048241","5.0846848","4.6071758","12.8022499","7","8","6.0055099","46.425209","57.8734398","22.40079365","23.7172394","13.3928022"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00081","","","","30","41.0303307","2.7727399","1.450913","1.279161","9.9373693","4.8290839","14.399106","11.3131685","7","5","3.5858419","46.9532928","44.9248734","21.62055336","24.2512131","7.0091271"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00082","","","","30","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00083","","","","30","0","1.8349479","0.933793","0.920517","0.931271","1.92715","2.120676","6.4477582","5","2","3.9373419","59.2046089","68.1744614","26.77573823","14.8034897","12.8532705"
