LABEL	NAME	UNIQUENAME	GENOTYPE	SYNONYM1	SYNONYM2	PLOIDY	INSTITUTE	GERMPLASM_GROUP	CURATOR	PROJECT_NAME	CATEGORY	PROJECT_TYPE	YEAR	PROJECT_DESCRIPTION	LOCATION	LOCATION_CODE
388	PG17161-A14					6	Ghana-CIP		bdeboeck							
389	PG17161-A2					6	Ghana-CIP		bdeboeck							
390	PG17161-A3					6	Ghana-CIP		bdeboeck							
391	PG17161-A4					6	Ghana-CIP		bdeboeck							
392	PG17161-A7					6	Ghana-CIP		bdeboeck							
393	PG17161-A8					6	Ghana-CIP		bdeboeck							
394	PG17162-A1					6	Ghana-CIP		bdeboeck							
395	PG17162-A10					6	Ghana-CIP		bdeboeck							
396	PG17162-A11					6	Ghana-CIP		bdeboeck							
397	PG17162-A14					6	Ghana-CIP		bdeboeck							
398	PG17162-A2					6	Ghana-CIP		bdeboeck							
399	PG17162-A3					6	Ghana-CIP		bdeboeck							
400	PG17162-A4					6	Ghana-CIP		bdeboeck							
401	PG17162-A6					6	Ghana-CIP		bdeboeck							
402	PG17162-A7					6	Ghana-CIP		bdeboeck							
403	PG17162-A8					6	Ghana-CIP		bdeboeck							
404	PG17162-N1					6	Ghana-CIP		bdeboeck							
405	PG17163-N1					6	Ghana-CIP		bdeboeck							
406	PG17164-A1					6	Ghana-CIP		bdeboeck							
407	PG17164-A11					6	Ghana-CIP		bdeboeck							
408	PG17164-A12					6	Ghana-CIP		bdeboeck							
409	PG17164-A14					6	Ghana-CIP		bdeboeck							
410	PG17164-A15					6	Ghana-CIP		bdeboeck							
411	PG17164-A2					6	Ghana-CIP		bdeboeck							
412	PG17164-A6					6	Ghana-CIP		bdeboeck							
413	PG17164-A7					6	Ghana-CIP		bdeboeck							
414	PG17164-A8					6	Ghana-CIP		bdeboeck							
415	PG17164-A9					6	Ghana-CIP		bdeboeck							
416	PG17164-N1					6	Ghana-CIP		bdeboeck							
417	PG17165-A1					6	Ghana-CIP		bdeboeck							
418	PG17165-A10					6	Ghana-CIP		bdeboeck							
419	PG17165-A2					6	Ghana-CIP		bdeboeck							
420	PG17165-A3					6	Ghana-CIP		bdeboeck							
421	PG17165-A4					6	Ghana-CIP		bdeboeck							
422	PG17165-A5					6	Ghana-CIP		bdeboeck							
423	PG17165-A6					6	Ghana-CIP		bdeboeck							
424	PG17165-A7					6	Ghana-CIP		bdeboeck							
425	PG17165-A8					6	Ghana-CIP		bdeboeck							
426	PG17165-A9					6	Ghana-CIP		bdeboeck							
427	PG17166-N1					6	Ghana-CIP		bdeboeck							
428	PG17167-N1					6	Ghana-CIP		bdeboeck							
429	PG17169-A1					6	Ghana-CIP		bdeboeck							
430	PG17169-A11					6	Ghana-CIP		bdeboeck							
431	PG17169-A12					6	Ghana-CIP		bdeboeck							
432	PG17169-A13					6	Ghana-CIP		bdeboeck							
